review_time,positive_review,negative_review,problems_solved,rating
"Dec 09, 2021",You connect with jobs that fit your description. The best thing about it is you can narrow down your search results to a specific region and profession. It has an easy interface that everyone can use.Review collected by and hosted on G2.com.,There are some people who pose as job creators yet they are there just to scam people and it's very hard to differentiate them from the real ones. So I'd advise people to be a little bit cautious.Review collected by and hosted on G2.com.,"Having been in the freelancing field for some years now, LinkedIn Job Search has enabled me to get jobs from different parts of the world with just a few simple clicks. This is the power of the Internet through LinkedIn Job Search.Review collected by and hosted on G2.com.",4
"Jan 13, 2022","It helps connect with companies that fit your job profile and your CV. We can search for jobs according to the skills and experience shown up in our LinkedIn profile. Also, it has some great filter options to explore the best possible job according to your requirements. Here we can set alerts for related jobs and new job posts.Review collected by and hosted on G2.com.","Sometimes it shows errors that are unrelatable, and it happens multiple times. There is no specific reason behind it. Also, it does not indicate more jobs when you sticks to any particular location or the desired part of any region.Review collected by and hosted on G2.com.","In my early days, I have used this tool a lot. It helped me search for many jobs according to my qualifications and skills. Also, I got my first job using LinkedIn only. From that day, I have been continuously using it to search for new internships and good opportunities for myself. They provide more genuine and reliable job opportunities than any other platform available in the marjet.Review collected by and hosted on G2.com.",4.5
"Mar 26, 2022",I got my both job at MNCs in India through LinkedIn Job Search it helps me immensely to find the right job that suits my career. This application is the best then glassdorss.Review collected by and hosted on G2.com.,Sometimes it shows me some of irrelevant jobs which are not from my job search otherwise the application working betterReview collected by and hosted on G2.com.,"Getting a better start, giving me a complete list of company's who are looking for my kind of talent, interview scheduling and better insights.Review collected by and hosted on G2.com.",5
"Dec 23, 2021","What I like most is the connections I make and the wide and vast array of opportunities available to me. I see new jobs everyday and get contacted quite often. I feel like you get a good look at companies and their content, opportunities and culture.Review collected by and hosted on G2.com.",The interface and timeline functions are slightly out of touch and the feed is not always updated with new information or content although I do get consistent job offers. Almost weekly.Review collected by and hosted on G2.com.,Outdated. Lots of jobs arent updated through the actual search although like I said before I do receive frequent offers. But when searching I often find jobs that have been posted over a month ago. Some type of system should filter out old jobs.Review collected by and hosted on G2.com.,5
"Apr 27, 2022",The Linkedln job search is very advanced and best part is it help you to get the job opportunities according to your requirements and also give the notifications according to your filter set for job.Review collected by and hosted on G2.com.,There is nothing to dislike about it rather than that the feature of the job suggestions according to your skill sets on the profile as well as the feature privent fake jobs.Review collected by and hosted on G2.com.,Linkedln job search help me to find best suitable and my skills matching job opportunities as well as the filter are the best part of the linkedln job opportunities.Review collected by and hosted on G2.com.,4.5
"Dec 02, 2021",It is an efficient way to meet job offerings in your location. A lot of remote offerings with quick polling options. I also like the option for saving the CV to have it under hand once the opportunity is published.Review collected by and hosted on G2.com.,HR Marketing options that you are pinging with a lot of paid in announcements. Thus some times those on top of the offerings are not relevant to you but promoted by the employer. There is no option to give feedback on the employer if he is impolite or irrelevant.Review collected by and hosted on G2.com.,I am constantly aware of opportunities around me and promotions LinkedIn wisely considers are relevant to my experience. It would be great to have an option to mute announcements from a given employer if he were irrelevant or tricky.Review collected by and hosted on G2.com.,5
"Oct 14, 2021","I would like to describe my overall experience with linked in job search as a very good one, I believe it really works, It is definitely better than all the other competitors of the jo search industry and most importantly it is easy to use.The best thing is that it is a product of linked in it self so making a connection with potential employers and employees is definitely easy, we can half a work is done ther and it is so easy to apply with mere just one click you dont have todo the data entry work of filling out resumes and answering same multiple questions for each and every applications.Review collected by and hosted on G2.com.","The dashboards are great and user friendly but some times the reporting criteria in these dash boards isnt really great , multiple times i have applied using a linkedin resume but still it redirects to the same link asking to fill same form and also the same is not updated in the dash board. Multiple ads of same jobs posted by the same company showing different job ids is also not updated in the dash board.Review collected by and hosted on G2.com.","I am using linked in job search to search for internship and full time employement, in the past i have also used to post ads for employees which my previous company wanted to hire, so from both the perspective i think linked in job search is a really good plat form one can opt for. I can even understand and have better visibility to where i stand in the competition.Review collected by and hosted on G2.com.",3.5
"Oct 14, 2021",linked job search is a good plat form one can use if he or she a looking for a full time or part time job or any other kind of employment and if also a company want to hire from LinkedIn it is a very good solution to use I am a user who has tested both parts of the coin I have experienced that it is easy to apply jonb with one click with inkedin application it self. They have very intelligently eliminated all the hustle of reapplying and filling out lengthy forms and speeding up the entire hiring process.Review collected by and hosted on G2.com.,I think there can be more customization features for the employer side as I have also used to a couple of times to hire a few interns at my previous company.Review collected by and hosted on G2.com.,"Unlike any other portal for a job search or free lancer, linkedin ensures the complete visibility , te=ransaprency and mainly saves from the falseprofiles and fraud people. I think this is the best feature of linked in according to me. Also from a hiring stand point it is really easy to segregate the applicants based on the various demography and other key feautues that linked in job search has added which makes it certainly ahead of the competition from other portals.Review collected by and hosted on G2.com.",5
"Jun 08, 2022","Keep me update with the latest information, my job becomes more efficientReview collected by and hosted on G2.com.","Nothing, it is amazing to use",Getting to speak with the right people and making business senseReview collected by and hosted on G2.com.,5
"Dec 08, 2021",1. You can find a job according to your field.,2. You can set a job alert notification for your desired job.,2. I am getting job notifications according to my desired field.Review collected by and hosted on G2.com.,5
"Aug 08, 2022",Wonderful dashboard with preference-based job openingsReview collected by and hosted on G2.com.,There is no dislike! All their options are really helpful for the job seekersReview collected by and hosted on G2.com.,Showing expected job for the seekers and giving a opportunity to connect with the Job posted HRsReview collected by and hosted on G2.com.,5
"Dec 28, 2021","I love how LinkedIn Job Search provides you with a variety of options! It is so easy to search for what you're looking for and even use filters to get more specific, but also if you don't have anything specific you're searching for - you can do a general job search which is great as well!Review collected by and hosted on G2.com.","Honestly, there isn't much that I dislike about LinkedIn Job Search. If I had to pick one thing though, it would be that sometimes it is hard to filter your location and find jobs specific to your region.Review collected by and hosted on G2.com.","Honestly, I am not currently solving any problems with LinkedIn Job Search. I have realized benefits though such as ease of access when it comes to searching or browsing for jobs.Review collected by and hosted on G2.com.",4
"Oct 04, 2021","Using LinkedIn Jobs, I can search for a job opening.  They can also notify me if there are new job openings in my field of expertise.  I can view the profile of the Company on LinkedIn itself.  I can browse the what type of industry and how big the company is.  Also, for the Recruiter, if they think I'm qualified for the position, they can quickly contact me thru email.  They can also browse my profile so they can see if I'm fit for the job.Review collected by and hosted on G2.com.",I dislike nothing about this because it is a beneficial way to find a job.Review collected by and hosted on G2.com.,"There were times; I was applying for a job on LinkedIn, other positions were opening where you could send your application quickly.  But there are others that I need to create accounts of input so many details before I can apply.  Sometimes, I have difficulty inputting other information, or sometimes I cannot pursue the submission of my application.Review collected by and hosted on G2.com.",5
"Jan 04, 2022",I love all the jobs that are posted on LinkedIn Jobs. It's really neat because it shows you how you compare to other applicants and even ways to,Stand out. I like how it shows you if you have any connections which can help you do some networking and maybe get a foot in the door or a referral. Great ServiceReview collected by and hosted on G2.com.,Finding a job or connecting with someone that may be close to a position you would like or with the same company. It helps you see where you stand against other applicants.Review collected by and hosted on G2.com.,5
"Jun 15, 2017",LinkedIn has connected me with a lot of colleagues and potential employers. Many people use LinkedIn to connect with me as well - whether it be for job opportunities at my current workplace or to see if I am looking for a different opportunity.Review collected by and hosted on G2.com.,It is super easy to use especially after LinkedIn has updated their webpage.Review collected by and hosted on G2.com.,Helps your job posting get views to a great selection of candidates!Review collected by and hosted on G2.com.,5
"Nov 08, 2016","Finding opportunities can be a full-time job. LinkedIn's dedicated Job Search application(s) go a long way to helping connect you with whatever it is you're looking for. Alerts and reminders can be tailored to specific companies, locations, positions and more to ensure you don't miss a great opportunity if you fail to open the app every day.",,Take the time to customize it and it can become your personal assistant in navigating the massive volume of great opportunities out there.Review collected by and hosted on G2.com.,4
"Sep 27, 2017",Using Linkedin to job search makes it very easy.Review collected by and hosted on G2.com.,"The ease of it, the ability to see the jobs home page and who you may know that works there.Review collected by and hosted on G2.com.",Some old postings still say up to date.Review collected by and hosted on G2.com.,4
"Sep 05, 2017",I've used LinkedIn's job search function to tailor my search perfectly to industry/type of company I wanted to apply to.Review collected by and hosted on G2.com.,"You can filter down by location, experience level, and industry.Review collected by and hosted on G2.com.",I dislike that there isn't much salary information or guidelines to each position. I think each company should have to put a general range for roles posted.Review collected by and hosted on G2.com.,4.5
"Jun 15, 2017",I use LinkedIn daily to review profiles and source for great talent to bring to my company.  In recent months it has improved quite a bit and I would definitely recommend to anyone.Review collected by and hosted on G2.com.,"The search tool to create projects and especially the new ""open to new opportunity"" function.Review collected by and hosted on G2.com.",I dislike that you cannot respond to people if they reject your message. I would still like to thank them for responding.Review collected by and hosted on G2.com.,5
"Feb 02, 2017","We are working with a client that needs to hire 20 candidates in a short period of time and out of all the job boards, LinkedIn has been the biggest help. We have been able to find valuable candidates and we have better response from candidates through LinkedIn.Review collected by and hosted on G2.com.","Love that if you find a qualifying candidate, you can use the ""similar"" tool to find other candidates that have a similar background. LinkedIn really helps with connecting people and being able to put a face to a name. I have been able to connect with so many people around the nation and be able to help job seekers find their next opportunity.Review collected by and hosted on G2.com.",LinkedIn is helpful for both sides of the job hiring - Looking for valuable candidates and helping candidates find their next opportunity.Review collected by and hosted on G2.com.,5
"Jun 01, 2017",More and more companies are relying on social media to hire new talent. linkedIn is the leader for linking candidates and clients. Their search not only shows you the open positions but suggests similar positions as well. Great tool for those looking for a new opportunity.Review collected by and hosted on G2.com.,Shows the open positions and similar opportunities that are open. The user interface is clean and easy to use.Review collected by and hosted on G2.com.,Easy to use and a leading in recruiting and opportunitiesReview collected by and hosted on G2.com.,5
"Jun 19, 2017","LinkedIn made searching and finding a job easy. Searching by company or keyword was simple, and very user friendly.Review collected by and hosted on G2.com.",Ease of use. The ability to sift through applicants helped us find the best applicants quickly.Review collected by and hosted on G2.com.,So far I have had a very positive experience using LinkedIn.Review collected by and hosted on G2.com.,4
"Aug 01, 2017",I was looking for jobs and turned to linkedln to add it to my list of job searching tools. I also keep my linkedln profile updated as a professional part of my career.Review collected by and hosted on G2.com.,Easy apply jobs.,Have your profile updated. Keep up with the recruiters.Review collected by and hosted on G2.com.,3.5
"Feb 22, 2017","LI Job Search allows you to post jobs by allowing your ATS to feed jobs from your website to LI.  Our jobs appear exactly as they do on our website, and allows us to go after the more passive job seeker.Review collected by and hosted on G2.com.",The fact that it is an automatic feed from our internal job postings to the LI siteReview collected by and hosted on G2.com.,"This is an easy to use site that allows you to tap into a more passive network.  Jobs will show up on an individual's home screen, even if they aren't actively looking for a new role.  They can also opt in to receive emails that will list jobs.Review collected by and hosted on G2.com.",5
"Jun 15, 2017","Recruiting and finding candidates, and creating templates in projectsReview collected by and hosted on G2.com.",Recruiting license and being able to source across the contry efficientlyReview collected by and hosted on G2.com.,people spamming invitations when they are not relevant to my professional networkReview collected by and hosted on G2.com.,5
"Jun 15, 2017",I've used LinkedIn for both searching passive candidates and having people apply for jobs.Review collected by and hosted on G2.com.,the Boolean searches and narrowing it by location and companyReview collected by and hosted on G2.com.,the cost and how inmails are counted on your accountReview collected by and hosted on G2.com.,5
"Jun 15, 2017",Used for professional development and networkingReview collected by and hosted on G2.com.,"Easy to use on multiple platforms i.e. phone, desktopReview collected by and hosted on G2.com.",Not as easy to filter for a personal job searchReview collected by and hosted on G2.com.,5
"Apr 06, 2017","LinkedIn provides not only job postings, but also creates a space to discuss and connect with others in your field.Review collected by and hosted on G2.com.","I like the fact that I can message and connect, yet I can also create privacy settings for areas I do not want to follow or people I do not want to connect with.Review collected by and hosted on G2.com.",They could provide more jobs and companies.Review collected by and hosted on G2.com.,3.5
"Jun 15, 2017",We post quite a few jobs on this job board and I have also used LinkedIn for my mother's small business.Review collected by and hosted on G2.com.,"I like how easy the interface is and how many applicants we get. Also, I like that you can check on the profile's of some of the candidates to see their work experience.Review collected by and hosted on G2.com.",I think that some jobs receive too many applicants that are not qualified for the job.Review collected by and hosted on G2.com.,5
"Apr 05, 2017",We are searching for several roles and I use LinkedIn to find candidates.Review collected by and hosted on G2.com.,I like that I can filter by location because we want to find local peopleReview collected by and hosted on G2.com.,Lower the price of the recruiting solutionsReview collected by and hosted on G2.com.,3.5
"Jan 18, 2017","LinkedIn has the advantage of having accurate, up-to-date demographics and job information about potential new recruits.  It has become best practice in business to keep your LinkedIn profile fresh, so it is a gold-mine for active recruiting. By posting a job on LinkedIn, we saw better candidate matches.  Also, if no candidates were applying, we could search critical fields (years experience, skills/expertise, current employer, etc.) and reach out to candidates who were already employed.Review collected by and hosted on G2.com.",I like the real-time data for my search needs.Review collected by and hosted on G2.com.,"If you want to expedite your search and be active in your pursuit of candidates (instead of waiting for them to come to you), this is the tool for you.Review collected by and hosted on G2.com.",4.5
"Jan 12, 2017",I have used it as part of my current job to help find possible leads or opportunities for other as part of the services we provide.  I also use it to see currently what is going on in the job market to identify trends we should be keeping up with to make sure we are offering companies the kind of employees they are searching for when they post.  I also use it personally to evaluate my own current position to compare to other institutions with similar positions.Review collected by and hosted on G2.com.,"I do like how you can create search parameters to narrow the search results you receive.  The viewed, saved and applied tabs are also very useful to keep track of job descriptions that have been visited.  This is especially helpful as many times in professional networking sites you may lose track of where you saw something or where it was posted.Review collected by and hosted on G2.com.",Tweak your search parameters a couple different ways to see what gets you the best results for what you are searching for in an opportunity.Review collected by and hosted on G2.com.,4.5
"Jun 15, 2017",LinkedIn job search helps us get job applicants and share our company with the online community.Review collected by and hosted on G2.com.,LinkedIn Recruiter is really helpful for sourcingReview collected by and hosted on G2.com.,"Great filters, easy to find jobs that match skills.Review collected by and hosted on G2.com.",5
"Nov 24, 2016","Engaging and easy to use interface, for premium users there is a lot information about what kind of skills are required for particular job and qualifications of other applicants and their geographical dispersion.Also it helps to give an idea about in what range a person should expect the salary to be.Review collected by and hosted on G2.com.","If you are not Premium member there is not many benefits like LinkedIn learning, Lynda and other important features of job search.Review collected by and hosted on G2.com.","If you are looking for change in job , you must try LinkedIn Job Search , I can be a main connecting link to your interview.Review collected by and hosted on G2.com.",5
"Apr 19, 2017","tu peux voir les opportunités et le offres d'emplois dans toutes les regions de france, élargir mon réseaux social professionnel et garder le contacte avec des responsable des ressources humaines.Review collected by and hosted on G2.com.",je peux voir les opportunités d'emploi dans toutes les régions de franceReview collected by and hosted on G2.com.,"le fait que des options soient payantes, je préfère que ce soit gratuitReview collected by and hosted on G2.com.",5
"Jun 15, 2017","LinkedIn helps educated, professionals find jobs suited for them.Review collected by and hosted on G2.com.",LinkedIn has very qualified candidates. It's easy to find professional companies and postings easilyReview collected by and hosted on G2.com.,Filter locations and your specific roles that you'd like to findReview collected by and hosted on G2.com.,5
"Jun 21, 2017",I am a recruiter and it helps with connections.Review collected by and hosted on G2.com.,Streamlines best applicants for jobs you are posting.Review collected by and hosted on G2.com.,The tool is awesome if used properly.Review collected by and hosted on G2.com.,4
"Jun 15, 2017",I've recruited for a wide variety of positions through LI.Review collected by and hosted on G2.com.,My favorite feature it newer - candidates marking their profile as open to opportunitiesReview collected by and hosted on G2.com.,Geographic searches being limited by region and not being to pick a city and have a radius searchReview collected by and hosted on G2.com.,4
"Jan 18, 2017",LInkedIn is growing increasingly cumbersome to use. It is difficult to get relevant key word search results and the limit to InMail is obtrusive. Overall its an industry standard that feels like people suffer thru to use.Review collected by and hosted on G2.com.,I do like seeing who has viewed my profile - though some have told me its an inconsistently correct feature. And I like being able to ramp up on a candidate job history before a call.Review collected by and hosted on G2.com.,hold your nose and do it.. for a little while. See if it benefits you or not.Review collected by and hosted on G2.com.,1
"Aug 16, 2019",It is the biggest and best job search tool where potential employees and companies can meet. I love it because it shows job positions available in line of profession. There is no need to create a resume and send it because your profile is the resume.,I love the simplicity of the platform. It gives professionals a chance to connect with each other and share the latest trends in the industry.Review collected by and hosted on G2.com.,Finding open job positions in my line of profession was a piece of cake! It also enabled me to get lucrative short term contracts from other professionals who need my expertise on certain projects.Review collected by and hosted on G2.com.,5
"Mar 29, 2020",You can filter company based on your experience and knowledges. Great for get in touch with companies and recruiters!Review collected by and hosted on G2.com.,the messaging system ay be better giving the possibility to send messages besides the CVReview collected by and hosted on G2.com.,It helped me finding the actual job position. I would have never met this company otherwise.Review collected by and hosted on G2.com.,5
"Oct 23, 2019",The LI Job Search brings up quality and targeted job opportunities. It tells you when they were posted and even how many other LI job searchers have applied. Some jobs even let you apply right through the LI site with “Easy Apply.”Review collected by and hosted on G2.com.,Just be sure to use enough filters to narrow down your search because the number of job listings they post is staggering.Review collected by and hosted on G2.com.,I’m usually hired for short-term jobs and this site allows me to stay on top of new opportunities.Review collected by and hosted on G2.com.,5
"Jul 02, 2020",LinkedIn is an ideal platform to build and create professional. You may get a desired job with your connects.Review collected by and hosted on G2.com.,I personally get very less response for the jobs that I apply through this platform.Review collected by and hosted on G2.com.,I got connected with my previous colleagues and it help me a lot in building PR.Review collected by and hosted on G2.com.,3.5
"Oct 11, 2019","LinkedIn is a very app for searching a job. I have so many connections with people there and i see many jobs offers. One more good thing also is that its an educational platform , i find so many materials shared my people on different subjects like online marketing, advertising and etc.Review collected by and hosted on G2.com.",So far it's nothing. It helps me when i look for a job. Also it helps in connecting with many people and learning from their the experience they share thereReview collected by and hosted on G2.com.,I can find a job easily there. Its also a great platform you can display your skills so employers can find you easily in case you are looking for a jobReview collected by and hosted on G2.com.,5
"Sep 24, 2019",The great thing is you can build your network with professional people from all around the world. You can ask people for references. You can join group related to your industry. You can build your brand by creating your business page.Review collected by and hosted on G2.com.,Its very hard to reach their support. If some issues comes up i have to go to Twitter for LinkedIn help. They don't have A mail or telephone number for customer complaint.Review collected by and hosted on G2.com.,"LinkedIn is the best platform to build a network. It can really help you grow you career to new heights. LinkedIn has help me a lot over the years. It can help you to find a job. It can help you to find a right candidate for your company. It can help you grow your business. LinkedIn has become very powerful tool over the years. Its a best tool for B2B communications which can help your business a lot. LinkedIn premium is also great tool which can help you to find potential clients for your business. If you are looking for a job, you can ask your connections for reference, which is great feature. LinkedIn is must tool to have in this generation if you are a professional business owner or looking for a professional job.Review collected by and hosted on G2.com.",4.5
"Jul 10, 2019","Linkedin is the best job search tool and this is backed up by so many reasons. First, so many individuals companies depend on linkedin to advertise positions in their firms.",Getting jobs on linked in is an easy process since all I did was create a profile like resume which is matched brilliantly to similar job openings.,Linkedin is also necessary when going up the co-operate ladder since it offers so much insight and its possible to network with people and learn the same.Review collected by and hosted on G2.com.,5
"Jun 19, 2020",This is a complete website where you can do job research and you can review the various comments by the many commentorsReview collected by and hosted on G2.com.,When searching for a specific job many times the resume in the search is not compatible with the job searched for.Review collected by and hosted on G2.com.,Seeking employment.  I have received many available jobs to reviewReview collected by and hosted on G2.com.,5
"Sep 18, 2019",linkedin-job-search is one of the best application for job search. The best part of linkedin-job-search is it is globally recognized and can apply for even international jobs. This platform has helped many job seekers in finding their dream jobs.Review collected by and hosted on G2.com.,with experience with the linkedin-job-search i do not find any disadvantage in this portal.Review collected by and hosted on G2.com.,"linkedin-job-search has benifited many job applicants to get the jobs. Many Multi national uses this platform to advertise their job postings. In this platform we can search for the jobs based upon our educational qualifications, technical skills, Location , salary package, Company etc. linkedin-job-search can be used from both computers and as well cell phones. In this platform the applicants should have to upload their resumes into the linkedin-job-search portal and the recruiters have access to view and download the resumes of the applicants. Then based upon their requirements of company recruiters contacts to the job applicants.this platform allows the job applicants to communicate with the recruiters. it has a very simple interface which makes to use it very easily. the application keeps on updating and adding new features to its platform. it also has the free membership and as well paid premium service .  In paid premium service you have more chances of getting jobs and access to few more additional features. this platform has many additional features which other applications doesn't have.Review collected by and hosted on G2.com.",5
"Sep 16, 2019",Filters I like most in linked in job search. Another point which I liked setting custom alerts for Job post. So you never miss an opportunity which you are waiting for.,,"Obviously , Platform for Job Search. LinkedIn helps alot in job search because it has wide network. You can make connection and  prepare your circle where you can share your talent or learn something via connecting through network as well as communities.Review collected by and hosted on G2.com.",3.5
"Jul 01, 2019",Being a business-oriented website it allows it users market their  expertise and professionalism to suitable employers,"Acts as a true marketing tool to your employers as your showcased profile can provide your skills, show recommendation and connections as evidence of who you truly are","Searching for a job can be sometimes tedious and cumbersome from the fact that  one has to go from one place to another carrying a load of papers to show out your skills and professionalism, LinkedIn simplifies this by allowing users to showcase this on a single platform and at the same time follow companies that may require their services apart from interacting with people from different domains.Review collected by and hosted on G2.com.",4.5
"Oct 01, 2019",I like it because as Administrator of a company I must hire trained personnel. And the software allows me to search for people who are looking for employment in the areas I am looking for.Review collected by and hosted on G2.com.,"Sometimes the page hangs, it sticks, sometimes it also gives me notifications of people who do not meet the requirements to be hired.Review collected by and hosted on G2.com.","The best software to find people who are interested in looking for jobs, as a company administrator, my duty is to find trained personnel in the areas of my company through this software and got many employees.Review collected by and hosted on G2.com.",4.5
"Jul 28, 2019","I like LinkedIn Job because it is an updated, intuitive, dynamic and economic platform focused on helping me find an ideal job, in line with my professional skills and abilities.",Review collected by and hosted on G2.com.,Review collected by and hosted on G2.com.,5
"Jun 26, 2019",I love how easy and straightforward it is to create a kick-ass career profile similar to a cv on linked in. I also love that for recruiters its so easy to create job advertisements on linked in. Linked in is so well and intuitively crafted to match profiles with similar job postings which is hugely convenient. The application of jobs is quite easy too since the job seeker can use their profile as the cv and quickly apply without having to go through the tedious process.Review collected by and hosted on G2.com.,I sometimes get matched to job postings that are not remotely close to my field of study which is annoying to say the least. Also some expired job postings are not immediately deleted and will still appear on my job positions page.Review collected by and hosted on G2.com.,Linked in job search helps users find available job postings and easily apply for the positions. Its a great tool that is widely accepted as an intuitive means of getting jobs.Review collected by and hosted on G2.com.,3.5
"Sep 09, 2019","I love the versatility of this tool because in a simple way and with simply creating a professional profile to which I can attach all my work information I can access millions of job offers in different organizations and locations, I like it because I can easily keep track of my job applications easily.",,"Linkedin has allowed at all times to know each one of the demands of the labor market, this helps me to constantly update my professional career to be more professionally competitive in any job application, its versatility of use is incredible, its benefits countless, always promoting knowledge of vacancies in different locations around the world.Review collected by and hosted on G2.com.",5
"Sep 09, 2019",I would definitely recommend looking for a job via the Linkedin job search platform. This platform gives you the ability to search and browse and make your search very specific according to location and specialization. It is also great to apply an email alert when looking for a role in a certain company.,Another great thing about the platform is that recruiters can find you and approach you with roles and positions that might be relevant for you.Review collected by and hosted on G2.com.,"I use Linkedin as a main platform for connecting with persons employed in a company I would like to apply to.  I find it very useful if not mandatory to make a personal connection and network with people in the company I'm about to apply, in order for my application to be considered seriously.Review collected by and hosted on G2.com.",4.5
"Jun 22, 2019",its best because its helping the freshers like me and trainees and also for experienced persons for getting jobs in which they can give there 100%. people who were doing jobs and getting jobs by linked in were satisfied with there work and designation.linked in generates the great job opportunities for every age groups.Review collected by and hosted on G2.com.,i dislike about the introductory steps for making contacts upload profile etc. sometimes the unprofessional accounts were messaging the rubbish things they don't understand that its a professional site.Review collected by and hosted on G2.com.,i realized that linked is the best site for decreasing unemployment from the society. we can easily search jobs and make choices for interviews like simple as choosing the product for buying from the online shopping sites.Review collected by and hosted on G2.com.,4
