review_time,positive_review,negative_review,problems_solved,rating
"Mar 29, 2017","I recruit all over the US and use ZipRecruiter to do this. I recruit mainly sales, marketing, and finance professionals.Review collected by and hosted on G2.com.","I love how easy it is to post. It takes about 2 minutes to post a job. If you don't have an Applicant Tracking System this would be a great tool as well, but I use a separate ATS.Review collected by and hosted on G2.com.",ZipRecruiter,4
"Jun 20, 2017",Zip is a great starter tool to learn basic functions. It is almost overly helpful with the amount of Pop up help bubbles that seem to get in the way of everything. Resume search tool still needs more refining.Review collected by and hosted on G2.com.,The amount of exposure to job boards is good.Review collected by and hosted on G2.com.,Great to use for beginners.Review collected by and hosted on G2.com.,3
"Jul 24, 2017",I used ZipRecruiter's free trial for a month and found that it was not the best platform for technology talent. I believe if you're looking for entry level or temporary staff - it could be good.Review collected by and hosted on G2.com.,"The ease of posting jobs is great, definitely gets to every single job board.Review collected by and hosted on G2.com.","Your posting goes to every single job board; which in turn, doesn't give you the most qualified candidates. Most of the applicants, I sifted through and passed on without a screening.Review collected by and hosted on G2.com.",1
"Oct 05, 2017","ZipRecruiter provides daily job notices, some of which are not in my wheelhouse, but others I find very interested and have applied for several.Review collected by and hosted on G2.com.",I love the daily alerts and the ability to explain when a job is not a good fit for me.Review collected by and hosted on G2.com.,Nothing - the platform is terrific and easy to use.Review collected by and hosted on G2.com.,5
"Aug 08, 2017",We were looking for applicants for many different positions. ZipRecruiter was a good way to help us track.Review collected by and hosted on G2.com.,The ability to have other managers thumb up or down candidates. This made it easy to tell what the next step was for the candidate.Review collected by and hosted on G2.com.,Sometimes it does not send out the email that allows the candidate to reply back.  Our Account Manager suggested we put our email address after our signature to fix this issue.Review collected by and hosted on G2.com.,3.5
"Jun 15, 2017",I have applied several times through this type of service and had a few interviews with the companies that posted ads for jobs and so far have not had a job jet through this service.Review collected by and hosted on G2.com.,The job postings that are posted on the site have high quality.Review collected by and hosted on G2.com.,I did not like the ability to hear from live representatives to schedule interviewsReview collected by and hosted on G2.com.,3.5
"Jun 21, 2017","Ziprecuiter helps with recruiting- job posting, reviewing resumes, etc.Review collected by and hosted on G2.com.","It's very easy to use and navigate, and it's also very organized.Review collected by and hosted on G2.com.","Look into other options before paying for it. It's good, but there are better options out there.Review collected by and hosted on G2.com.",3
"Jun 15, 2017","I had been applying for jobs when I was laid off, and zip recruiter helped a bunch! They gave me insight on when my resume had been reviewed, how many times and if there was interest. I enjoyed knowing that I was being considered, instead of sending resumes and applications that just get lost in the shuffle.Review collected by and hosted on G2.com.",I loved the ability from the applicant side to see how I was being considered. It also gave me an opportunity to connect with a recruiter personally if I needed additional help.Review collected by and hosted on G2.com.,"I actually really liked the product, although there were a lot of emails notifying me of updates. Overall, no complaintsReview collected by and hosted on G2.com.",3.5
"Aug 02, 2017",aggregating job postings from our applicant tracking system and inbound applicationsReview collected by and hosted on G2.com.,"Ease of use, user interface and speed at which our postings are aggregated.Review collected by and hosted on G2.com.",98% of applicants are interntional and need sponsorship.Review collected by and hosted on G2.com.,0.5
"Jun 14, 2017",We are an IT Staffing Consulting Firm that uses Zip for posting all our open opportunitiesReview collected by and hosted on G2.com.,Price coupled with the amount of access to different markets.Review collected by and hosted on G2.com.,"If you get one placement using this tool every year, you have already made up the cost of the tool itself.Review collected by and hosted on G2.com.",5
"Jan 19, 2017",Zip is very easy and self explanatory to use. Navigation is extremely easy though out the site. Reviewing candidates is fairly easy as well. I've yet to contact candidates through the site but it appears to be simple as well.Review collected by and hosted on G2.com.,"I like being able to get on the site, make a posting, and get off the site within 30 mins. It is extremely easy to navigate the site, and make a posting if you are prepared with your job description.Review collected by and hosted on G2.com.","There could be more options for after the job description field that are customizable. For common lower end jobs it would be helpful for canned job descriptions to be available, either for free or for purchase. Also the ability to customize those job descriptions for actual job posting. The site overall doesn't need improvements they have done a good job with the easy with using the site.Review collected by and hosted on G2.com.",5
"Jan 27, 2017",ZipRecruiter helped our company with recruiting for different positions we had open. They had great support for employers and were very user friendly. It was very easy to search for different types of skills we were looking for.Review collected by and hosted on G2.com.,"You could set it up to have new resumes that had been posted to ZipRecuiter emailed right to you, so you didn't have to sort through lots of resumes that weren't what you were looking for. It made recruiting much easier.Review collected by and hosted on G2.com.",I didn't like the sales calls we would get occasionally always trying to get our company to upgrade our product.Review collected by and hosted on G2.com.,4
"Jun 17, 2017",ZipRecruiter has been a tremendous help with bringing highly qualified candidates to my attention. This provider makes it easy to look at multiple candidates in one place.Review collected by and hosted on G2.com.,What I like best are the number of qualified candidates available to review and search.Review collected by and hosted on G2.com.,My dislike is that prices can be more competitive.Review collected by and hosted on G2.com.,5
"Sep 27, 2016",Zip recruiter is great when it works properly. It can save time with finding resume but I do have a lot of problems with itReview collected by and hosted on G2.com.,"It really bothers me that there is not a flip view to view resumes, it takes a lot of time to open the resume and then click back to search results for the next resume. Also I do not like that I can't paste my whole booleen search because at lot of the candidates that come up in my search are not retentive. I also don't like that I can't copy and paste the resume into Bullhorn but I have to download it first and save it. It just wastes more time.Review collected by and hosted on G2.com.",At this time I feel like zip waste's more time than it actually helps but if they changed a few things it could be more usefulReview collected by and hosted on G2.com.,1.5
"Oct 24, 2016","I like how well this product works for you while you are not actively sourcing. We have an extremely small recruiting team here and we are starting to grow very rapidly. Given that, ZipRecruiter is an incredibly useful & easy tool to have in your toolbox!Review collected by and hosted on G2.com.","Not much, really. The only thing I had trouble with was customizing each req. However, after speaking with our rep Daniel, it was easy to fix.Review collected by and hosted on G2.com.",Small recruiting team and little to no time to do any sort of outbound sourcing. This is great for solving that problem.Review collected by and hosted on G2.com.,5
"Dec 28, 2019",They made my job search easier last time around when I was looking for a job in sales. Now I am looking for a technical writer job. The interface with ZipRecruiter is simple and effective and it's a graet tool for the job hunt. ZipRecruiter makes it very easy to apply for a multitude of different jobs. The One-Click apply feature works well.Review collected by and hosted on G2.com.,"Didn't always narrow down my search by geographical location and/or job type correctly. Looking at technnical writer jobs sometimes I ended up in things like Desktop OS/Software support. It seems like the interface makes it easy to end up on other job sites like Monster without realizing it, not a huge thing but it tends to happen and that can be annoying.Review collected by and hosted on G2.com.","There are so many applications to fill out when looking for a job, ZipRecruiter made it quicker and easy to search through the pile. Doing research about different kinds of jobs is easy on ZipRecruiter, the descriptions are well written and direct. At my last job I became a sales manager, now I have very transferrable skills that I can use at a multitude of jobs.Review collected by and hosted on G2.com.",5
"Dec 26, 2019","I love how I can change and edit my resume although I may have already sent it over. No other website allows that! Also, each company lists their skills that they would like for each candidate to have. This makes it a lot easier because as fast as they look at our resume, is the same pace that we can look at the skills and not have to worry about searching for a job description.Review collected by and hosted on G2.com.","Although it is out of our control, I dislike how most jobs do not post any listings here. This is the easiest job site that I've ever been on!Review collected by and hosted on G2.com.","No problems that I am aware of. I've picked up on looking at each jobs recommended skills and that has helped me hear back from more companies. Never knew that I could edit my resume so easily with what each job is looking for in a candidate and it makes it much easier on me, if I do possess those traits but are not able to think of them while working on my resume!Review collected by and hosted on G2.com.",5
"Dec 25, 2019","I liked the process of applying which is very simple and efficient. The database of companies/opportunities is good if you're looking for small to medium-sized companies. I was able to get a job through ZipRecuirter pretty quick. That gave me confidence and now that I'm looking for a job again, I'm hopeful that ZipRecruiter will once again be very helpful in my job search. I wish the team the best of luck with the incredible work they are doing acting as a trusted ""connector"". The entire process took me about two weeks. Also, love that you get notifications about the progress of your application. For example, each time your application is viewed and other notifications or updates regarding the applicationReview collected by and hosted on G2.com.","Sometimes right after applying to a job, that position gets closed. I used to think there was something scammy about it but through experience, I realized it's probably due to companies who forget to close an open application after hiring is complete.Review collected by and hosted on G2.com.",I think it's a trusted place to look for a job on the internet. Many recruiting sites have expired postings and really old ones that waste precious time during a job search. ZipRecruiter is trying to solve the problem connecting skills with opportunities sometimes it's not always possible to connect with recruiters or hiring managers in person. That takes away the credibility but ZipRecruiter tries to bring that back in as a trusted partner in the process.Review collected by and hosted on G2.com.,5
"Nov 18, 2019",ZipRecruiter constantly updates me about open positions and what jobs I might be interested in. The interface is quick and easy to use and has given me great results so far.Review collected by and hosted on G2.com.,I recently updated my location but the website has still been suggested jobs around my previous place of residence. I would appreciate the suggestions being updated to my current locationReview collected by and hosted on G2.com.,ZipRecruiter solves the problem of applying to as many jobs as quickly as possible while getting effective results. The benefit is ZipRecruiter reaches out to you instead of you having to search for every position.Review collected by and hosted on G2.com.,5
"Dec 21, 2019","I really like the app I was able to send to friends and colleagues making it really easy for them to write a recommendation. When you asking someone to write a letter of recommendation it is invaluable and important for you to have it, but it's an inconvenience for them to be able to take the time to write it. This made it simple and easy for them to use reply to, and as a result I have almost a dozen or so now. I also love the feedback. When I apply to a position Zip recruiter alerts to when the application has been reviewed. It's nice to at least know your application is been looked at.Review collected by and hosted on G2.com.","The algorithms don't always understand my experience. I have received some job suggestions for nurses, doctors, and dentist position that I am completely unqualified for. It's just a minor dislike and on the flip side its really amusing.Review collected by and hosted on G2.com.","I am just casually looking for employment. I am employed full time at my job right now, but looking because there is a possibility our department could get outsourced. Ziprecruiter is helping me understand what jobs are out there, building my search muscles, and also to refine my resume.Review collected by and hosted on G2.com.",5
"May 21, 2020","Absolutely nothing, I currently have nothing good to say about ZipRecruiter.Review collected by and hosted on G2.com.","Incredibly high prices, Prices based on days displayed regardless if anyone sees it or not, No customer service, under qualified applicants, no views of posted job.Review collected by and hosted on G2.com.","Worst company to ever post a job. Posted a good sales position, received 2 under qualified applicants and a total of 32 view with charges over $1500 because they switched us to a premium account with double checking. They did not reach out to us and tell us our ad was not performing at all and refused to refund us even though we didn't even receive one qualified applicant. Don' t even consider using ZipRecruiter.Review collected by and hosted on G2.com.",0
"Jan 09, 2020",It is a clean looking environment to filter an seek jobs that fit my interest and skill level.Review collected by and hosted on G2.com.,It pushed me into jobs based upon my past experience. I do not necessarily want to do what I did in the past.Review collected by and hosted on G2.com.,"I am not an expert in fill out a resume. I come across great in person, but not so much on a document. Most jobs allow me to add a cover letter so I can tailor my approach to the specific position that let me shine a little better.Review collected by and hosted on G2.com.",5
"Jan 05, 2020","When I opened up the site, entered my information, they sent me accurate location and occupation job options. Usually I am sent options not specific to my location or job skills. The site is easy to navigate and you don't have to add certain information in order to progress through to the next question. Many sites require you to fill in information before you can proceed. Like salary information or specific dates of employment. When I see this I close out of the site. Adding this information puts you at a disadvantage. I then proceed directly to the company website if I am interested in the position.Review collected by and hosted on G2.com.",I dislike if I have to answer specific questions in order to progress to complete the application.Review collected by and hosted on G2.com.,At this time I have no problems and it is too early to see benefits.Review collected by and hosted on G2.com.,5
"Dec 13, 2019",It's a great job search and posting app with many higher paying jobs listed than I found on competition websites. I got a few interviews from it and a staffing company signed me up so it gets results. I like the alerts and notifications as well when new jobs pop up.Review collected by and hosted on G2.com.,I'm still learning how to have less notifications as sometimes there were too many when first signing up. But other than that it's been a good job search app. Would recommend!Review collected by and hosted on G2.com.,I  wish I knew I could upload my resume and info so I can apply from my phone as well and send applications without having to always re-upload resumes.Review collected by and hosted on G2.com.,4
"Jan 04, 2020","I like how fast and easy ZipRecruiter is. It can be used on a laptop/PC or on the app on your smartphone. 1-tap applications makes it quick and easy to apply. I also like that good jobs are suggested to me daily and they pop up as phone notifications, so I don't have to go searching for jobs all the time.Review collected by and hosted on G2.com.","So far, I haven't noticed any real downsides of using ZipRecruiter. My experience has been very positive.Review collected by and hosted on G2.com.","Job searching and applying for jobs can be very time-consuming. ZipRecruiter makes it quick and easy to apply. Other sites only send email notifications, but with ZipRecruiter I get notifications right on my phone. This seems to make it easier for me to apply.Review collected by and hosted on G2.com.",5
"Sep 24, 2019","ZipRecruiter is easy to use and intuitive in its dashboard setup.  Managing your job posting slots is simple, as well as applying additional paid boosts or enhancements.Review collected by and hosted on G2.com.","The rejection process/notification to rejected candidates is not as smooth as it could be.  For example, when selecting the ""thumbs down"" icon for an applicant that does not meet your criteria for further consideration, it does not change the applicants status to rejected.  It also does not prompt a rejection email at that time.  It would be best if selecting the thumbs down icon triggered a workflow that accomplished both of those things.  It would remove extra steps in the process.Review collected by and hosted on G2.com.","We've been able to expand our candidate pool significantly.  Previously, PRO-PT relied solely on word of mouth or working with recruiting agencies.  This has reduced that cost and help put our openings in front of substantially more candidates.Review collected by and hosted on G2.com.",5
"Nov 29, 2019",I had posted my Resume on several competitor job sites. Zip Recruiter connected me with more employers than the all the other job sites combined! I believe this is due to the fact that there are simply more companies and employers utilizing Zip Recruiter to look for future candidates like me!Review collected by and hosted on G2.com.,"The app was operating a little slow sometimes when using my cellular data. Also, it could load more positions as i scroll through the postings.Review collected by and hosted on G2.com.",I upgraded my unlimited phone plan and realized that my phone service was the issue with speed of app. I see that when i downloaded the new version of the App that positive changes have been made and upgraded.Review collected by and hosted on G2.com.,5
"Dec 12, 2019",It is extremely easy to apply for good employment situations! All you need to do to submit a resume is to hit the home button on your smart device!Review collected by and hosted on G2.com.,I cannot think of anything negative to say.Review collected by and hosted on G2.com.,I have found many excellent job opportunities. I am currently working as an independent contractor in a position I applied for on ZipRecruiter. It is a very lucrative and ideal position.Review collected by and hosted on G2.com.,5
"Sep 17, 2019",I would say that the jobs sent to me are very relevant to my experience and I probably apply to 50% of those sent to me. I like the quick response and engagement info when an employer has looked at my resume too.Review collected by and hosted on G2.com.,"At times the jobs are not relevant at all or too junior, almost as if Ai took over the assessment and only focused on one keyword.Review collected by and hosted on G2.com.","I like the quick apply process and then being matched automatically to other jobs similar. But at times the matching job recommendations are not relevant or too junior since the match may be for one key word related to me. For example, I'm seeking a senior marketing and communication executive position. Many times I get jobs that have the word ""marketing"" in the title but have nothing to do with what I'm looking for.Review collected by and hosted on G2.com.",5
"Sep 12, 2019",I like being able to access my resume and copy it/download it. I like how easy it is to apply for jobs and that you can apply to multiple at once. I like that you can swipe left on jobs to hide them. I like that you can easily apply on a company's website. The search function is good. I've had a few recruiters reach out to me and mention that they saw me on here so that makes me feel like my resume is actually being sent to people or showing up in searches versus like on Indeed where I feel like I'm just sitting out there and I don't get contacted by people from there nearly as much.Review collected by and hosted on G2.com.,"For me, it would be nice to save search preferences. Because I don't know if it's because my resume sucks or that I'm super entry level but I don't like how many jobs are for sales positions. I try to swipe right or dismiss as many as I can but I feel like they are VERY common on here versus on Indeed. I guess it makes sense on your guys' end because I'm sure sales companies are always desperate for people so it's not really your guys' fault. It could also be the area that I'm in that there's so many shady pyramid scheme-like ""marketing"" or ""advertising"" agencies.I don't think my issue is really ZipRecruiter's fault but there are so many crappy advertising agencies with misleading headlines & descriptions. I feel like they try to game the algorithm by adding words that someone like me would search for. Like for example, the job title will be ""Marketing Admin Assistant"" and the description will say things like, ""people who have experience with HR, Human Resources, Administrative Assistance, Office Environment, Management,"" etc. just to show up in an HR job search, BUT it will basically be door-to-door sales. Like,Review collected by and hosted on G2.com.","And also like it's so easy to apply to the jobs that sometimes I accidentally apply for sales jobs and then I'm like ""oops. oh well"" because they are really aggressive anyways with their hiring tactic because I guess they're desperate but either it has increased my overall confidence. I don't know if that's a good thing for them or you guys but it has helped me.Review collected by and hosted on G2.com.",5
"Nov 26, 2019","I like how Zip Recruiter allows me to view only the positions that match me instead of the ad-filled, cluttered websites many other job board sites have. I don't have to type in my individual work history like many of these low-tier HTML sites make you do, I just plug in my important information and a copy of my resume and potential employers can connect with me more quickly.Review collected by and hosted on G2.com.",I think any job board site has room for improvement in ensuring that older postings get deleted on a cycle so no one wastes their time applying to positions that have already been filled. There's also always room to add more filters for job searches to better tailor results.Review collected by and hosted on G2.com.,"Zip Recruiter has given me hope in my job search. I recently moved to a new city and have been struggling with finding opportunities in the specific areas of work I'd like to take my career path towards, and Zip Recruiter has shown me an easy way to see all of these previously hidden opportunities in front of me.Review collected by and hosted on G2.com.",5
"Nov 26, 2019","ZipRecruiter offers summaries of the filters based on date, background, place, etc, so the candidate's database can be navigated easily which removes the lengthy efforts we have to do with each nominee. The designation of the job requests is provided, as well as the opportunity to weed out candidates that are not completely within our requirements.Review collected by and hosted on G2.com.","ZipRecruiter's internal server is somewhat unusual and is lacking of good and practical search capabilities. Also, I wish ZipRecruiter could have an option where it could call those that have served for two years or more and put them first on the list to be filled, as well as delete or cover applications from years ago we don't intend to call.Review collected by and hosted on G2.com.","ZipRecruiter encourages us to reach for many qualified applicants to our workplace for an accessible interview, which includes the recruitment of new hires and the supervision of the recruitment process. Each recruiting team has exposure not only to the job posting, but also to evaluate applicants who have connected directly to these positions. It has been really helpful to find people who are available for our roles, such as accountants and development managers.Review collected by and hosted on G2.com.",4
"Sep 09, 2019",I love the feedback more than any other feature. I know if my application has been reviewed and the likelihood of being considered seriously. It’s helpful to see when a position has been closed and the easy apply is perfect for a busy individual.Review collected by and hosted on G2.com.,The salary request feature is too easy to accidentally mark and may leave an employer uninterested in a candidate. I rarely have received a response after the request feature was initiated.Review collected by and hosted on G2.com.,,5
"Sep 16, 2019","Standardization so that you do not need to create a profile on 40 different sites in order to send out resumes. ZipRecruiter makes it so that you don't have to tell every single site that you are eligible to work in the US or have a valid drivers license. Also, the workflow is very intuitive.Review collected by and hosted on G2.com.",I find that I do not need as many email updates as are sent every time my resume is uploaded to a new company.Review collected by and hosted on G2.com.,I hate applying for jobs and this makes it a little easier.Review collected by and hosted on G2.com.,4.5
"Nov 18, 2019","Whenever we want to identify qualified applicants for our clients, our companies use ZipRecruiter for free job orders, as it gives us the capability to see all contact details. The application is very simple to use and is subject to a lot of summaries.  You are more interested in getting the work out of view or providing direct answers to your position rather than building a massive list of applicants. Also, it's also able to deliver Vets Services, with vets or applicants in transition seeking positions in which they are accessible.Review collected by and hosted on G2.com.","Being honest, there's nothing I dislike about ZipRecruiter. I definitely give it a 10 because I feel it's almost perfect.Review collected by and hosted on G2.com.","We use ZipRecruiter to analyze our ATS system and link it, allowing monitoring data and contestant profiles simpler. It works as a work council for our different open posts and also as a great source point for reactive applicants in their very own online database. It provides us with another framework for nominees if in our administrative pool we don't have enough.Review collected by and hosted on G2.com.",5
"Nov 18, 2019","ZipRecruiter allows me to find exactly what I love to do. As a web designer and developer the job matches are exactly what I'm looking for and I love how they automatically find matches that are accurate to my skill set. Some sites match me with jobs I'm not skilled enough for and I can spend useless hours searching through job listings finding something that I am good at. ZipRecruiter makes it fast, easy and effective to find the jobs I am actually capable of doing and many are easy apply so I just click ""1-click Apply"" and that's it. My application is sent.Review collected by and hosted on G2.com.","I think ZipRecruiter should have a job system more like Careerbuilder.com. Although their service is a great one, Careerbuilder.com has a very useful auto-apply feature that allows me to apply to hundreds of jobs all at once that are similar to the job I originally applied to. That makes it much easier to get my resume out there and more likely to be hired. I wish ZipRecruiter had a application feature like that.Review collected by and hosted on G2.com.",ZipRecruiter is where I find many employers who like my profile and I find jobs there.Review collected by and hosted on G2.com.,5
"Nov 20, 2019",The User Interface is very easy to maneuver. The application process is simple and straight to the point.Review collected by and hosted on G2.com.,"Honestly I don't have any, nothing is perfect in this life but this is so close to it! I think the only thing would be it sometimes it gets laggy which is normal when you have tons of people on your servers just goes to show how amazing ZipRecruiter is!Review collected by and hosted on G2.com.","I have learned even though experience is key, it's also your interview is important. Like they say, be so good they can't ignore you.  If you can spot a hunger but you have lack of experience they can definitely negotiate and teach you.Review collected by and hosted on G2.com.",5
"Sep 12, 2019","I love how fast and simple it is to apply for jobs, and that each job is usually relevant to my needs. The 1-Click Apply is really useful and allows me to apply for multiple jobs at once. I also really like how I can bulk apply to multiple jobs. It saves so much time, really an amazing feature.Review collected by and hosted on G2.com.","Sometimes the jobs that I bulk apply to aren't always relevant to my interests or career path. In sales, you have to watch out for a lot of M2M and marketing schemes- so those need filtered out more closely.Review collected by and hosted on G2.com.",The problems I can solve with Ziprecruiter are defining more of my career path and therefore the benefits have matched me with better quality employers and people I literally have neck and neck in my head when considering a job.Review collected by and hosted on G2.com.,5
"Nov 12, 2019",ZipRecruiter has very responsive job postings. They allow you to provide as much detail as you want in order to sell yourself to possible job opportunities. The amount of companies that use this platform is pretty incredible and it is a good feeling to know that I am viewing a solid amount of leads.Review collected by and hosted on G2.com.,"Sometimes there are formatting issues when attaching documents, such as uploading resumes or other supporting documents. I would like to be able to make sure that when a document is uploaded that the formatting has not been skewed to the viewer.Review collected by and hosted on G2.com.",I am able to browse jobs quickly and efficiently to weed out opportunities that I feel are right for me and what I am looking for in my career path. The benefits I have realized involve seeing the vast amount of employers that use this platform. I appreciate the ability to refine my searches to really narrow down the options I am looking at.Review collected by and hosted on G2.com.,5
"Jan 04, 2020",I really like how ZIP recruiter in Tempe Arizona has a really good office culture. I interviewed for a customer service position there and although I did not get the position I like the culture a lotReview collected by and hosted on G2.com.,"I already had a trip planned to go home and I was not allowed to take the trip should I get hired. I understand being new to something and needing to be there, but since I already had something planned I wish I could have goneReview collected by and hosted on G2.com.","Zip recruiter sent me soooo many emails during my job search. I wish they would have not sent me as much, because most were jobs I was never going to be interested in so they just turned into spam emailsReview collected by and hosted on G2.com.",3
"Sep 24, 2019","Ease of applying, job availability, quality of jobsReview collected by and hosted on G2.com.","Updating job applications could improve, quicker feedback on applicationsReview collected by and hosted on G2.com.",Way more employers than other sites and higher qualityReview collected by and hosted on G2.com.,5
"Aug 25, 2019",Fast and easy information upload pf information amd fast response to consultReview collected by and hosted on G2.com.,Nothing. This is a great way to get out of the box and into the fast pace of the business worldReview collected by and hosted on G2.com.,Less typing. More applicationsReview collected by and hosted on G2.com.,5
"Jul 29, 2019","Our Account Manager, Brittany, is incredible! She is quick to respond to emails and always goes above and beyond to help out with whatever we need!Review collected by and hosted on G2.com.",I have personally had no issues thus far as I am only an admin to the accountReview collected by and hosted on G2.com.,ZipRecruiter is a great tool for the staffing services we need and is very easy to use!Review collected by and hosted on G2.com.,5
"Sep 04, 2019",I get to know about upcoming positions quicklyReview collected by and hosted on G2.com.,I wish I could connect with the employer quicker.Review collected by and hosted on G2.com.,I can be mobile but still apply for jobs that are relevant to my ultimate goalsReview collected by and hosted on G2.com.,5
"Sep 04, 2019","They never sent me anything that wasn’t a good fit to my resume, and what I was looking for.Review collected by and hosted on G2.com.",Sometimes they can send out too many notification.Review collected by and hosted on G2.com.,It takes a lot of the weeding through thousands of jobs for me.Review collected by and hosted on G2.com.,5
"Sep 12, 2019",I love the way they always match your interests and skills to potential openings in my areaReview collected by and hosted on G2.com.,They do sometimes send offers that I am not qualified to acceptReview collected by and hosted on G2.com.,Helps me stay focused and on taskReview collected by and hosted on G2.com.,5
"Oct 10, 2019",Simplicity in use I did not struggle so muchReview collected by and hosted on G2.com.,No place for Africans origins I left it blankReview collected by and hosted on G2.com.,Inclusivity of diverse cultureReview collected by and hosted on G2.com.,5
"Aug 16, 2019","Its easy to get started. Liked the online support as well. Also on the Phone, Miguel C was helpful.Review collected by and hosted on G2.com.",Our first ads were on hold without a given reason. Had to call them up t get the account set free.Review collected by and hosted on G2.com.,ZipRecruiter,3
"Oct 04, 2019",One click apply is awesome to apply for plenty and be done.Review collected by and hosted on G2.com.,Nothing to dislike. It's a great app to useReview collected by and hosted on G2.com.,It keeps you updatedReview collected by and hosted on G2.com.,5
"Sep 23, 2019",I love that they send new jobs daily and seem to get most right.Review collected by and hosted on G2.com.,The only thing is that the employers don't respond.Review collected by and hosted on G2.com.,Helped me find employmentReview collected by and hosted on G2.com.,5
"Sep 17, 2019","Get new jobs that posted recently, which can match with my skillsReview collected by and hosted on G2.com.",I didn't find anything that I dislike in itReview collected by and hosted on G2.com.,There is no problem I faced when looking for new jobsReview collected by and hosted on G2.com.,5
"Jul 23, 2019",Rebecca and Jodie helped me with my ADP client using ZipRecruiter very efficientlyReview collected by and hosted on G2.com.,nothing at allReview collected by and hosted on G2.com.,ZipRecruiter,5
"Oct 03, 2019",Its easy to put in you application on there siteReview collected by and hosted on G2.com.,No being able to contact employer after applications is inReview collected by and hosted on G2.com.,Dont have any problemsReview collected by and hosted on G2.com.,5
"Sep 11, 2019",The search feature and position suggestions tend to be fairly on point.Review collected by and hosted on G2.com.,The mobile app needs to be fleshed out a lot more.Review collected by and hosted on G2.com.,Looking for a new position to grow my career.Review collected by and hosted on G2.com.,4.5
"Sep 29, 2019",It’s always provide the best job opportunity to employeesReview collected by and hosted on G2.com.,Nothing Is dislike for the company recuttingReview collected by and hosted on G2.com.,Best job opportunity for the developersReview collected by and hosted on G2.com.,5
