review_time,positive_review,negative_review,problems_solved,rating
"Dec 26, 2021",The user interface is simple and needs no training to use. The job posting is easy and reaches out to quality pool candidates. It provides an excellent communication system to communicate the candidates.Review collected by and hosted on G2.com.,The resume formatting is different from the attached resume. Sometimes there are issues of system down. The mobile platform is not up to mark. It works on a pay-per-click modal.Review collected by and hosted on G2.com.,"It helped me to source quality candidates quickly. It provides an excellent filter to find candidates as per requirement. It has a large pool of candidates, which speeds up the hiring process.Review collected by and hosted on G2.com.",4.5
"Sep 20, 2021","So when it comes about Indeed, it's most valuable recruitment Job Board compared to others because the User Interface is so friendly you can become an elite recruiter by using indeed in a couple of weeks. Most of the resumes indeed shows in the collection are perfect matches.Review collected by and hosted on G2.com.",There's is nothing much to dislike for Indeed just you've got to wait for candidate responses and it might take days or weeks sometimes.Review collected by and hosted on G2.com.,I work for multiple clients in US for various positions. as far i've realized that Indeed helped me cover most of the positions i receive.Review collected by and hosted on G2.com.,5
"Aug 12, 2021",Used to be easy to hire people but not now.Review collected by and hosted on G2.com.,It is the worst platform to hire people and they are asking me to verify my business after 2years using it.Review collected by and hosted on G2.com.,As soon as they re activated my business account or gave legitimate explanation i will change my review however for now i do not recommend anyone to use INdeed to hire anyone.Review collected by and hosted on G2.com.,0
"Dec 22, 2021",The most helpful about indeed is we can easily recruit people's suitable for the company directly without the help of any consultancy. We can simply post job notifications and can view the cv of the people's applied.Review collected by and hosted on G2.com.,The user interface of indeed need to be improved for better  experience. Everything works fine in our use for hiring candidates.Review collected by and hosted on G2.com.,We are mainly using indeed to post job vacancies and to recruit staffs for our organization. Indeed helps us in the recruitment process for selecting right candidates.Review collected by and hosted on G2.com.,4.5
"Apr 12, 2022",The broad audience that it captures. Easy to use.Review collected by and hosted on G2.com.,It's very limited compared to what we are currently using.Review collected by and hosted on G2.com.,"None, we no longer use it.Review collected by and hosted on G2.com.",3
"Oct 04, 2021","Most of all, I like its user interface, which is quite appealing and accessible. It has a good base of candidates from which we can source the candidates according to the job description based on their skills and other criteria. Also, the filters work very much pretty well.Review collected by and hosted on G2.com.","We cannot connect with the candidate until they respond to our request, and sometimes deadlines are missed due to this, and both recruiter and applicant face issues due to it.Review collected by and hosted on G2.com.","I am using it for sourcing the candidates and developers for my team and organization. I frequently need developers and interns to work on our new projects and in this aspect, Indeed helps a lot to find the right candidate for the right job.Review collected by and hosted on G2.com.",4.5
"Oct 25, 2021","Easy to setup an account, easy to list jobs, easy to review all applications and respond. Full details and analytics to review as well.Review collected by and hosted on G2.com.",Platform could be a little more user-friendly. Besides that all is good with itReview collected by and hosted on G2.com.,We are filling positions that are needed. The review process helps to weed out the unqualified and help to find better candidates for the positions we are seeking.Review collected by and hosted on G2.com.,4.5
"Dec 09, 2021",There are various jobs available on Indeed. A person can easily find a desired job that suits his skills on Indeed.Review collected by and hosted on G2.com.,Indeed is a very useful platform to easily get the desired job that I want. The interface is slow and laggy while browsing that create a negative user experience.Review collected by and hosted on G2.com.,The altogether view of this amazing tool in my opinion is great. To get the most suitable job Indeed is the most prefered choice of the people who want to get a job that suits there skills.Review collected by and hosted on G2.com.,5
"Dec 21, 2021",I really like how you can sort and filter out jobs that are specific towards your experience and skillsetReview collected by and hosted on G2.com.,The layout is kind of bland and straightforward. I like to have a user-friendly interfaceReview collected by and hosted on G2.com.,Finding the right prospect and job leadsReview collected by and hosted on G2.com.,5
"Jul 26, 2021","Indeed is easy to use; you can post multiple jobs at once. It is free for some time at the very beginning. It does a step-by-step process when you are filling out a job posting. It's very detailed and suggests what tests the applicants should be doing. I also like it as a user while I search for a job, you can type in the locations and what you are looking for!Review collected by and hosted on G2.com.","I do like everything about it, but paying for every job post.Review collected by and hosted on G2.com.","I am not solving problems on Indeed but hiring new employees; it benefits our company to have people apply and find a job. We get the staff that we need, and they get the job that they want. We have been using indeed for a while now, its very effective to our company.Review collected by and hosted on G2.com.",5
"Jan 22, 2019","Indeed is so easy to use, you can post jobs, collect applications and contact applicants all through their online tool. We have only done the free job postings and still get tons of applicants for our positions.Review collected by and hosted on G2.com.",There really isn't anything I dislike at this point.Review collected by and hosted on G2.com.,"We are posting and advertising our open positions, collecting applications and contacting applicants to schedule interviews.Review collected by and hosted on G2.com.",5
"Apr 08, 2019","Ease of use, ease of finding candidates, cost effective, large customer base.Review collected by and hosted on G2.com.",Too many applicants allowed through for roles they aren't qualified for. Too many under qualified candidates asking for more than what they are worth.Review collected by and hosted on G2.com.,Hiring competent long term employees into technical roles. We did end up finding the right employee for this specific most recent position through this listing.Review collected by and hosted on G2.com.,3
"Jan 11, 2019","What I like best about Indeed is the ease of creating a job. You can set up the job with simple questions that Indeed provides to you, have certain requirements. What new about Indeed that we love is the option for an automated phone screen, as well as assessments. It takes out the need for numerous interviews for one position.Review collected by and hosted on G2.com.","The only thing I dislike about Indeed is the $5.00 minimum to sponsor a job posting. As a non-profit, we can't really justify spending $30.0 a week on just one post. Most of the time to avoid this cost, we only post one job at a time so we can use the free option.Review collected by and hosted on G2.com.","Like above, the interviewing and on-boarding process has certainly been a huge benefit for us.Review collected by and hosted on G2.com.",5
"Feb 24, 2019","We use indeed to hire new employees, you can list your job that needs filling for free through indeed. Those who apply can upload their information and if you choose to contact them their contact information is thereReview collected by and hosted on G2.com.",I do not dislike anything about Indeed.  I also don’t like the fact that it keeps sending me the same jobs day after day after I’ve already applied .Review collected by and hosted on G2.com.,Hiring for jobs that need filled.  Plenty of job offers come in every day doesn’t matter what state I’m in there’s always a great deal of jobs .Review collected by and hosted on G2.com.,5
"Dec 18, 2018",This tool put the word out there that we are hiring and connects us to people who we otherwise would not have been able to connect with.Review collected by and hosted on G2.com.,They email me ALL the time.  It's completely oppressive.  They constantly want you to spend a lot to promote your listing.  Overall their marketing is very annoying.  Also a lot of the applicants are beyond sketchy.  And then they match you with people who don't fit what you are looking for at all.Review collected by and hosted on G2.com.,We have conducted a few interviews and even hired one or two people from indeed.  You just have to comb through a lot of unqualified and extremely unprofessional applicants.Review collected by and hosted on G2.com.,2.5
"Nov 25, 2018",I like how there is no cost to post a job listing on indeed. This makes hiring new talent easy. You are able to post a job listing and get qualified applicants to submit their application. They also provide filtering for resumes to get the the best qualified.Review collected by and hosted on G2.com.,"I dislike how you have to post multiple time throughout the week to keep getting fresh candidates. Once you're job listing gets a few days old, it'll be hard to find it in major cities.Review collected by and hosted on G2.com.","With Indeed we are able to find new talent without having to spend money to pre-qualify or market our job listings, as indeed does it all for us.Review collected by and hosted on G2.com.",4.5
"Apr 12, 2019",Pre-screening questions allow for a much easier process flowReview collected by and hosted on G2.com.,I haven't found and down sides as of yet.  I am still learning the systemReview collected by and hosted on G2.com.,I don't have any problems at this time.  I do like the tracking system of applicantsReview collected by and hosted on G2.com.,2.5
"Jul 25, 2019",The access to the categories involved in creating an efficient resume for hire.Review collected by and hosted on G2.com.,The layout of the resume website included when trying to apply to particular jobs.Review collected by and hosted on G2.com.,The problems I have come across is how to change or update resume. The benefits I have realized is to upload a resume document.Review collected by and hosted on G2.com.,4
"Nov 18, 2018",If you think recruiting is a numbers game indeed is that the right place to travel. i might get one hundred applications in one day future} using indeed and whereas not each candidate was qualified there have been forever diamonds in the rough.Review collected by and hosted on G2.com.,"I do like the style of the page. It’s sensible however uninteresting. Sites like LinkedIn are a lot of fancy, and extremely enjoy using that product. Email notification can get annoying typically, people who are not sensible match, however you cannot flip it off as a result of you don't want to miss out something. Ought to have additional choices in customizing data received from Email Notifications.Review collected by and hosted on G2.com.",The ability to quickly and simply realize new hires and to organizing and manage the method with efficiency.We are able to get enough candidates that we can hire to fill our ever growing client base at our organization.Review collected by and hosted on G2.com.,4.5
"Jun 15, 2019",I love how easy it is to post a job and search for one. Indeed has up to available jobs and usually salary information  to go along with the write up. Posting a resume directly to the company is made easy by indeed.Review collected by and hosted on G2.com.,Sometimes when you search for a specific job they also return similar jobs back in the search which gets frustrating to shift through.Review collected by and hosted on G2.com.,I have learned to search by town and state and use keywords to limit my number of returns.Review collected by and hosted on G2.com.,5
"Feb 01, 2019",Indeed is a great tool to use if you are looking for candidates for positions. You can search key words and the site will pull up resumes that contain those key words. You can also directly email those people that you are looking for candidates to find if they would be a good match for your company.Review collected by and hosted on G2.com.,"There are a lot of free aspects to Indeed but if you want the premium sponsorship, you do have to pay a price. I personally enjoy the free parts of Indeed and have found that I still get great candidates, regardless of how much I pay for the site.Review collected by and hosted on G2.com.",Indeed is the #1 site that people go to when they are searching for jobs. They also have a mobile friendly app that allows people to use it on the go. They generally provide quality candidates for the positions we are wanting to fill.Review collected by and hosted on G2.com.,5
"Jan 18, 2019",Indeed used to be an amazing platform from both a job seeker and job poster. I personally found many positions and landed some of my favorite jobs via indeed. Job posting I simple and often gets picked up by other platforms.Review collected by and hosted on G2.com.,We use Indeed in my current position and the quality of candidates has gone down due to spoof jobs being posted and spam callers has scared away good talent.Review collected by and hosted on G2.com.,"It's an all in one solution for posting and getting replies. They do a good job of using filtering questions when we require someone with a degree or license. However, there are other solutions out there that are more affordable with better candidates. Industry specific websites have better quality.Review collected by and hosted on G2.com.",1
"Oct 22, 2019",Each job description provides all required infoReview collected by and hosted on G2.com.,Customization of certain fields need to be doneReview collected by and hosted on G2.com.,Looking for new jobsReview collected by and hosted on G2.com.,4
"Mar 03, 2019",I love that indeed makes it super easy for employers to reach out to you! It’s a great platform to find a job and I would recommend it to anyoneReview collected by and hosted on G2.com.,"I dislike the fact that you can’t reach out to employers yourself, it would make this a lot easier!Review collected by and hosted on G2.com.",It helps businesses find and hire great people!Review collected by and hosted on G2.com.,5
"Feb 13, 2019",I really like the pre-screening process of Indeed which you set up when creating a job openingReview collected by and hosted on G2.com.,I still received tons of unqualified applicants and was charged from each one - that is why it is not a 10Review collected by and hosted on G2.com.,"No problems, I've hired more good applicants through Indeed than bad.Review collected by and hosted on G2.com.",3.5
"May 30, 2019",One click and you can apply to hundreds of different jobs,,N/AReview collected by and hosted on G2.com.,5
"Apr 20, 2019",I love how Indeed is always there to help.  I also like how they have changed the way they send resumes via email.Review collected by and hosted on G2.com.,"Cost.  I wish they would come up with a different format to pricing.,Review collected by and hosted on G2.com.",We are in a demanding business and need employees pretty quickly.  We always find the right candidate through Indeed.Review collected by and hosted on G2.com.,5
"Apr 15, 2019",Indeed allows for my company to easily post jobs openings and source potential hires from a very broad range of applicants. Indeed involves a very wide audience of potential hires which helps inform our decision making process to find the very best person possible.Review collected by and hosted on G2.com.,"Indeed alllows a very broad range of qualified or even unqualified alllicants to view and apply for open positions at our company. It can be too much, applying more filers would be helpful.Review collected by and hosted on G2.com.",Posting job openings on indeed helps to relieve the responsibility of finding qualified appllicants from directors and executives who don’t necessarily have the time to sort through applicants.Review collected by and hosted on G2.com.,4.5
"Apr 08, 2019","This feature attracted over 100 applicants in a short period of time. Many were well-qualified, giving us a large pool to choose from.Review collected by and hosted on G2.com.",I'd say the only downside is the time it takes to review so many applications.Review collected by and hosted on G2.com.,The problem addressed was the need for a qualified employee. The benefit was that we found two candidates that fit our needs.Review collected by and hosted on G2.com.,4.5
"Apr 14, 2019",Indeed is without a doubt the #1 place for job seekers. Being a featured employer is almost an overwhelming wave of applications (in a good way). You get to really be selective and interview/hire the best candidates.Review collected by and hosted on G2.com.,The only downside is an offshoot of the positive. The overwhelming amount of applications you receive can sometimes require a vast amount of time. If you're a small operation it may be impossible to go through all of the applications you receive.Review collected by and hosted on G2.com.,Easy. Being able to hire the most qualified candidates because of the quantity of applications received. Better employees make a better and successful business!Review collected by and hosted on G2.com.,5
"May 03, 2019",I love the idea of displaying these rating on resume.Review collected by and hosted on G2.com.,"While doing the sample questions, the assessment skipped to question #6. I know for a fact I had only answered 2 sample questions up until that point. I ended up highly proficient, but my time utilized was much lower than the average. Therefore, I believe there is a technical error taking place. One does NOT have the ability to retake the test or find out ""missed""/best answers. Very frustrating as there is no customer service for the user to reach out to.Review collected by and hosted on G2.com.",EmploymentReview collected by and hosted on G2.com.,2.5
"May 02, 2019",We were banned from posting opportunities on Indeed. I still do not know why and our appeal was denied without explanation.Review collected by and hosted on G2.com.,The site has deep flaws in its processes and communications.Review collected by and hosted on G2.com.,"All problems, no benefits.Review collected by and hosted on G2.com.",0
"May 08, 2019",This is hands the easiest way to search and begin the interviewing process for both the employer and potential employee. The screening during the application process helps to figure if you are a fit. It's super easy to use...Review collected by and hosted on G2.com.,I do not have anything I dislike about Indeed.com. Try it out!Review collected by and hosted on G2.com.,InDeed allowed the freedom to search for my new job at my last job. What I mean by that is it makes it easy to search and apply for positions in your spare time.Review collected by and hosted on G2.com.,5
"Jan 30, 2019",I love that the assessment will filter out applicants that will not fit the needs of the job descriptionReview collected by and hosted on G2.com.,"I haven't had many problems, there was once glitch where unqualified candidates came into the applicant pool. Indeed fixed that really quickReview collected by and hosted on G2.com.",Saving time and energy because it filters out unqualified candidates and brings quality candidates into an interviewReview collected by and hosted on G2.com.,5
"Jan 24, 2019",I like that you're able to organize all of the candidates that apply and visibly leave notes for other candidates to seeReview collected by and hosted on G2.com.,"You cannot post jobs for free if you do not name your company, which is kind of annoying if you're trying to find a job replacement without hurting anyone's feelings.Review collected by and hosted on G2.com.","Lack of employees is an issue at times, and Indeed helps me to gain qualified applicants at a low cost and even send free assessments for them to complete!Review collected by and hosted on G2.com.",4.5
"Sep 21, 2019",Indeed is one of the most famous job searches on the internet it has used by so many people and there are so many job opportunities we're published on this web site I can find any job simply typing the position I want to see in search bar and I can search on jobs depend on the location as well I can select the location by zi code and I can search the jobs that are near to the location I want.Review collected by and hosted on G2.com.,Job posting feed are higher if they can reduce the job posting fees it will be great.Review collected by and hosted on G2.com.,We use indeed to post our job openings of the organization and hire the best people from the market.Review collected by and hosted on G2.com.,4.5
"Sep 17, 2019","It is the one of the best portal for job seekers. In this application we have give our information about the education, experience ,filed of expertise etc. then the job recruiters search the candidates for their company in the indeed application.Review collected by and hosted on G2.com.",After using the indeed application after so many years i do not find any disadvantage in the application but i would like to give a suggestion on improving their search filters.Review collected by and hosted on G2.com.,"Indeed has helped me a lot in searching my job. it is the best portal available available in the market. We can search the jobs based upon our technical skills, job experience, salary, location, companies etc. it provide the best jobs . in this application it allows us to upload our resume in the portal then after the recruiters will view our resumes and if it is suitable to their company then they will schedule the interview. in this application the job seekers can also communicate with the recruiters through messaging which other applications don't have. we  can use the Indeed in both computers and as well as in cell phones. Indeed application  keeps on updating adding new features to its platform.Review collected by and hosted on G2.com.",5
"Aug 17, 2020",The user interface and the easiness to navigateReview collected by and hosted on G2.com.,Limited job search to a particular fieldReview collected by and hosted on G2.com.,To find jobs in my fieldReview collected by and hosted on G2.com.,4
"Nov 18, 2019","I love how specific Indeed is in creating my profile, finding jobs, notifying me on updates, and keeping me informed.Review collected by and hosted on G2.com.",The only thing I dislike is that sometimes I will get very old job postings.Review collected by and hosted on G2.com.,"I found my current job through Indeed, and I have helped my company organize and post their future Indeed job postings.Review collected by and hosted on G2.com.",5
"Aug 28, 2019","What I like best about Indeed is how easy it is to post a job. It also gives the option to require a short questionnaire for applicants to complete, so that you know the applicants you receive are qualified.Review collected by and hosted on G2.com.","I do wish that the additional qualification questionnaire allowed you to be a lot more technical and specific about duties related to the role. Because as soon as we posted a job, the applications were rolling in by the dozens. It was overwhelming.Review collected by and hosted on G2.com.","I needed coverage for maternity leave (twice), Both times, we used Indeed to find temporary help. And both times, each candidate was so well-qualified and likable that we offered each of them a permanent position after I came back from leave.Review collected by and hosted on G2.com.",5
"Aug 25, 2019",Indeed is an easy to use app which shows the job by filtering the areas and even the cities. A user can also filter tge jobs according to salary and experience he has. It also lets you know about the recruiter who wants to recruit the people for jobs. The app also provides very much flexibility to its users.Review collected by and hosted on G2.com.,"I was really in search for a job and Indeed helped me. Indeed helped me to get a job and it has fulfilled my every wish as an app. So for now, I don't have any cons related to the Indeed software.Review collected by and hosted on G2.com.","Indeed is the right place where anyone can find his/her dream job. It has been used by me to find the jobs location wise, a job which is near to my house. Also it was easy for interviewing on the phone itself. It is best for thise who are seeking jobs.Review collected by and hosted on G2.com.",4
"Jan 13, 2020",I like how they are fast and easy to use for both candidates and hiring managers.Review collected by and hosted on G2.com.,I think they could be better constructed for candidates as some of the questions are not always relevant to the jobs.Review collected by and hosted on G2.com.,We are solving skills shortages quickly by finding out what candidates do and do not know about particular skills that are relevant to the role. This allows us to quickly see and form plans for how to train candidates down the road.Review collected by and hosted on G2.com.,3
"Oct 23, 2019","Its the best site when you are looking for a new job in your locality, it covers a lot of institutions and companies to choos fromReview collected by and hosted on G2.com.","It should be mandatory for companies posting to post everything related to the job, like, job description, duties and responsibilities, salary, etc.Review collected by and hosted on G2.com.","It can serve your job hunting on your locality, covering a lot of companies hiring.Review collected by and hosted on G2.com.",5
"Aug 31, 2019","Finding jobs become so easy on Indeed and that's the best thing, i like about Indeed. I can find jobs in any field on Indeed.Review collected by and hosted on G2.com.","I cannot store two resumes in one account. Sometimes i need another resume to find part job on weekend too, for that i have to upload resume every time from my machine.Review collected by and hosted on G2.com.",Finding jobs become so easy. Indeed solves my problems regarding finding jobs. All the employers love uploading jobs in indeed.Review collected by and hosted on G2.com.,4.5
"May 10, 2019",My favorite thing about Indeed is how SPECIFIC a Job Search can be for my Clients who need help finding jobs. I can narrow the search to pinpoint many jobs AND Indeed updates every hour to make sure that I can see all new opportunities.Review collected by and hosted on G2.com.,"I REALLY dislike the lack of moderation by the platform when it comes to making sure that any jobs posted 30+ days prior, ONLY stay posted IF they are open...It is extremely disappointing when a job is posted as open and then a Client applies and is told the position is filled.Review collected by and hosted on G2.com.","Indeed is one of the platforms I use to help various Clients get their Resumes and Profiles out where potential employers can then see them, but I have also seen my business increase since I started helping other individuals conduct Job Searches with Indeed.Review collected by and hosted on G2.com.",4.5
"Oct 25, 2019",I love using Indeed because it has the most available jobs of any site that I’ve used.Review collected by and hosted on G2.com.,"This is just a nitpick: I wish it would let you retake some of the assessment tests. I’ve taken some while using my phone and was unable to fully complete them as they were compatible for mobile devices, and so I got a lower score.Review collected by and hosted on G2.com.","My resume is getting more attention on Indeed than it has on any other site. I have the option of using Indeed to create my own resume on their site, or I can send my own resume to employers when applying for a job.Review collected by and hosted on G2.com.",5
"Apr 07, 2020",Ability to add another layer of filter to the hiring process.Review collected by and hosted on G2.com.,Limited options at first but they have updated it to share results from previously attempted test that a user has completed should the user close to do so.Review collected by and hosted on G2.com.,Better sampling pool of applicants when moving through the hiring process.Review collected by and hosted on G2.com.,5
"Sep 25, 2019",Indeed is great with breaking down career building and allowing the person to personalize their search through Multiple filters to get them to the right jobReview collected by and hosted on G2.com.,While it is helpful that it remembers previous searches and you were able to save them you also have to continue to login and sometimes it doesn’t work when you’re using saved passwords you have to reset that can be a hassleReview collected by and hosted on G2.com.,While it is helpful that it remembers previous searches and you were able to save them you also have to continue to login and sometimes it doesn’t work when you’re using saved passwords you have to reset that can be a hassleReview collected by and hosted on G2.com.,5
"Aug 19, 2019",It’s become a very universal platform so I know the quality of the companies that use indeed are usually good. I also love the ease of submitting my resume to many people and the ability to use the same cover letter with edits.Review collected by and hosted on G2.com.,"Indeed allows you to filter out jobs that are most fitting to your needs but unfortunately it doesn’t always filter out everything. For example, full time job searches may still include part time positions.Review collected by and hosted on G2.com.",I can apply remotely and make sure the position fits all my needs.Review collected by and hosted on G2.com.,5
"Jan 02, 2020",I like the sleek appearance of the user interface. It's easy to sort through all applicants at once.Review collected by and hosted on G2.com.,"Communicating with an applicant is difficult. I can send a message from indeed but then the applicant can only reply through indeed, not through independent email address.Review collected by and hosted on G2.com.",It's really easy to keep track of all my resumes and applicants!Review collected by and hosted on G2.com.,4.5
"Nov 25, 2019",Hiring and onboarding to our IT company at a rapid paceReview collected by and hosted on G2.com.,"Easy of use with the platform, easy and simple branding. Reviewing candidates with the team and setting up interviews.Review collected by and hosted on G2.com.",Finding people in harder to reach locations faster.Review collected by and hosted on G2.com.,5
"Oct 04, 2019",I was a staffing consultant for a technology division of a recruiting company. I loved that you could easily search people and find all of their information very easily. We would staff everyone from web developers to consultants to entry level help desksReview collected by and hosted on G2.com.,"I loved how you could compare candidates and search very easily on their database. you could see all kinds of information like citizen status, last time they were active on the site and so many more important detailsReview collected by and hosted on G2.com.",I didnt have any problems. There are so many benefits and it is a great service!Review collected by and hosted on G2.com.,3.5
"Oct 22, 2019",Using Indeed is very easy. It also shows salary data. The links are also working most of the time. I also get response and suggestions for other jobs that are open. Indeed is very helpful and information about the jobs are very useful.Review collected by and hosted on G2.com.,I dislike some features in Indeed that sometimes there are links that are not working.Review collected by and hosted on G2.com.,I am solving my problems about job search. It is beneficial for me as a job seeker that Indeed updates me with the latest available jobs.Review collected by and hosted on G2.com.,3
"Nov 25, 2019",Listening and sourcing candidates for various job positionsReview collected by and hosted on G2.com.,It is simple to post and easy to add key information.Review collected by and hosted on G2.com.,It makes job listing and resume sourcing easy. It is a cohesive site that collects a variety of applicant information.Review collected by and hosted on G2.com.,4
